,Course,Thing,Explanation,Date,Important,Index
0,CS1231S,CS1231S,"Topics
?> Logic
?> Sets
?> Equivalence
?> Functions
?> Cardinality
?> Counting
?> Graph_Theory",12/08/2021,,1.0
1,CS1231S,Logic,"Topics
?> Mathematical_Statements
?> Laws_Of_Mathematics
?> Laws_Of_Logic
?> Methods_Of_Affirming",12/08/2021,,2.0
2,CS1231S,Mathematical Statements,"Types
?> Corollary
?> Lemma
?> Conjecture
?> Theorem
?> Trichotomy
?> Syllogism",12/08/2021,,3.0
3,CS1231S,Corollary,"Definition
> Simple deduction from a theorem",12/08/2021,,4.0
4,CS1231S,Lemma,"Definition
> Simple theorem",12/08/2021,,5.0
5,CS1231S,Conjecture,"Definition
> Believed to be true",12/08/2021,,6.0
6,CS1231S,Theorem,"Definition
> Important proven statement",12/08/2021,,7.0
7,CS1231S,Trichotomy,"Definition
> Exactly one of the three statements is true",12/08/2021,,8.0
8,CS1231S,Laws Of Mathematics,"Types
?> Commutative_Law
?> Associative_Law
?> Closure_Law
?> Distributive_Law
?> Identity_Law
?> Negation_Law
?> Idempotent_Law
?> Universal_Bound_Law
?> Absorption_Law",12/08/2021,,9.0
9,CS1101S,CS1101S,"Topics
?> Source_Academy
?> Programming_Expression
?> Java_Source
?> Orders_Of_Growth
?> Programming_Model
?> Concurrent_Programming
?> Searching
?> Mutability
?> Memoization
?> Cheatsheet_For_PA
?> Cheatsheet_For_Finals",13/08/2021,,
10,CS1101S,Source Academy,"Topics
?> Source_Rune
?> Source_Curves
?> Source_Base_Functions
?> Source_Advanced_Functions
?> Source_Stream_Functions
?> Source_Sorting_Algorithms",13/08/2021,,
11,CS1101S,Source Rune,"Code <JV
import {} from ""rune""
JV>

Methods
?> Source_Quarter_Turn_Right
?> Source_Stack
?> Source_Stack_N
?> Source_Stack_Runes_Proportions
?> Source_Anaglyph
?> Source_Hollusion
?> Source_Overlay_Runes
?> Source_Overlay_Runes_Proportion
?> Source_Scale_Rune
?> Source_Scale_Rune_Independent
?> Source_Translate_Rune

Usage
> Imports things from ""rune"" package
> show() will show the rune 
> Can import rcross, sail, corner, nova, heart, show",13/08/2021,,10.0
12,CS1101S,Source Quarter Turn Right,"Code <JV
quarter_turn_right()
JV>

Usage
> Turns the rune by a quarter",13/08/2021,,11.0
13,CS1101S,Source Stack,"Code <JV
stack()
JV>

Usage
> Stacks runes on top of each other",13/08/2021,,12.0
14,CS1101S,Source Stack N,"Code <JV
stackn()
JV>

Usage
> Stacks n runes on top of each other
> n will be the first parameter",13/08/2021,,13.0
